Tm,Image_Path
UTA,logos/uta.png
GSW,logos/gsw.png
LAL,logos/lal.png
BRK,logos/bkn.png
PHO,logos/phx.png
TOR,logos/tor.png
PHI,logos/phi.png
DAL,logos/dal.png
MIL,logos/mil.png
MIA,logos/mia.png
MEM,logos/mem.png
CHI,logos/chi.png
MIN,logos/min.png
NOP,logos/nop.png
DEN,logos/den.png
ATL,logos/atl.png
SAS,logos/san.png
NYK,logos/nyk.png
CLE,logos/cle.png
CHO,logos/cha.png
LAC,logos/lac.png
POR,logos/por.png
SAC,logos/sac.png
HOU,logos/hou.png
OKC,logos/okc.png
WAS,logos/was.png
BOS,logos/bos.png
DET,logos/det.png
IND,logos/ind.png
ORL,logos/orl.png