player_name_x.1,image
Nikola Jokic,players/jokic.png
Giannis Antetokounmpo,players/antetokounmpo.png
Joel Embiid,players/embiid.png
Rudy Gobert,players/gobert.png
Jayson Tatum,players/tatum.png
Stephen Curry,players/curry.png
Luka Doncic,players/doncic.png
Gary Payton II,players/payton.png
Fred VanVleet,players/vanvleet.png
LeBron James,players/james.png
Jrue Holiday,players/holiday.png
Jimmy Butler,players/butler.png
Cameron Johnson,players/johnson.png
Jarrett Allen,players/allen.png
Jakob Poeltl,players/poeltl.png
Trae Young,players/young.png
Garrison Mathews,players/matthews.png
Derrick White,players/white.png
Kevin Durant,players/durant.png
Donovan Mitchell,players/mitchell.png
Ja Morant,players/morant.png
Patrick Beverley,players/beverley.png
Darius Garland,players/garland.png
Mike Conley,players/conley.png
Kevin Love,players/love.png
Otto Porter Jr.,players/porter.png
Mitchell Robinson,players/robinson.png
Domantas Sabonis,players/sabonis.png
Draymond Green,players/green.png
Chris Paul,players/paul.png