Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Impact
1,1,10/20/21,20-059,CHO,,IND,W (+1),1,28:57:00,11,23,0.478,7,9,0.778,2,2,1,2,7,9,7,2,0,2,3,31,26.5,0
2,2,10/22/21,20-061,CHO,@,CLE,W (+11),1,28:53:00,8,12,0.667,1,3,0.333,0,0,,0,3,3,6,5,0,3,3,17,17.7,3
3,3,10/24/21,20-063,CHO,@,BRK,W (+16),1,26:03:00,8,18,0.444,1,6,0.167,1,1,1,0,5,5,5,0,1,0,3,18,13.1,13
4,4,10/25/21,20-064,CHO,,BOS,L (-11),1,32:58:00,7,19,0.368,7,14,0.5,4,4,1,0,5,5,9,0,0,6,6,25,13.9,1
5,5,10/27/21,20-066,CHO,@,ORL,W (+9),1,24:17:00,3,14,0.214,1,5,0.2,0,0,,2,4,6,3,3,0,3,2,7,2.3,-7
6,6,10/29/21,20-068,CHO,@,MIA,L (-15),1,30:12:00,2,14,0.143,0,5,0,2,2,1,2,3,5,6,0,1,2,3,6,1,-11
7,7,10/31/21,20-070,CHO,,POR,W (+12),1,33:10:00,10,20,0.5,4,9,0.444,3,4,0.75,1,8,9,7,1,0,1,2,27,23.8,15
8,8,11/1/21,20-071,CHO,,CLE,L (-3),1,34:09:00,12,22,0.545,5,8,0.625,1,1,1,4,3,7,6,2,2,3,6,30,25.3,14
9,9,11/3/21,20-073,CHO,@,GSW,L (-22),1,33:33:00,5,14,0.357,0,6,0,4,4,1,1,4,5,8,4,0,4,4,14,12.1,-4
10,10,11/5/21,20-075,CHO,@,SAC,L (-30),1,30:42:00,9,14,0.643,4,8,0.5,2,2,1,1,2,3,13,0,0,2,1,24,25.8,-16
11,11,11/7/21,20-077,CHO,@,LAC,L (-14),1,31:35:00,8,19,0.421,2,5,0.4,3,3,1,3,4,7,3,3,0,2,5,21,15.3,-14
12,12,11/8/21,20-078,CHO,@,LAL,L (-3),1,41:43:00,8,19,0.421,3,8,0.375,6,6,1,3,13,16,11,1,1,3,2,25,26.5,6
13,13,11/10/21,20-080,CHO,@,MEM,W (+10),1,32:29:00,5,13,0.385,2,7,0.286,0,1,0,1,8,9,8,2,0,4,3,12,10,-7
14,14,11/12/21,20-082,CHO,,NYK,W (+8),1,37:23:00,4,13,0.308,0,5,0,4,5,0.8,1,16,17,9,5,1,4,2,12,16.8,18
15,15,11/14/21,20-084,CHO,,GSW,W (+4),1,37:32:00,8,17,0.471,4,8,0.5,1,1,1,0,7,7,5,3,0,4,5,21,14.9,13
16,16,11/17/21,20-087,CHO,,WAS,W (+10),1,35:54:00,4,18,0.222,2,7,0.286,1,1,1,2,4,6,14,2,0,5,3,11,8.2,19
17,17,11/19/21,20-089,CHO,,IND,W (+3),1,39:25:00,12,22,0.545,4,9,0.444,4,4,1,1,10,11,8,1,0,5,1,32,26.3,14
18,18,11/20/21,20-090,CHO,@,ATL,L (-10),1,34:17:00,5,18,0.278,3,7,0.429,2,2,1,3,6,9,11,2,1,1,2,15,16.9,-7
19,19,11/22/21,20-092,CHO,@,WAS,W (+6),1,38:16:00,10,24,0.417,3,9,0.333,5,7,0.714,1,12,13,7,3,1,6,1,28,20.9,12
20,20,11/24/21,20-094,CHO,@,ORL,W (+7),1,25:42:00,7,17,0.412,4,9,0.444,4,4,1,1,3,4,4,0,0,2,4,22,13.7,-2
21,21,11/26/21,20-096,CHO,,MIN,W (+18),1,29:07:00,4,10,0.4,0,3,0,2,3,0.667,1,5,6,13,1,0,4,2,10,11.7,9
22,22,11/27/21,20-097,CHO,@,HOU,L (-3),1,39:33:00,7,19,0.368,2,6,0.333,3,3,1,4,7,11,13,1,0,2,5,19,19.5,-14
23,23,11/29/21,20-099,CHO,@,CHI,L (-14),1,32:00:00,5,15,0.333,3,8,0.375,5,6,0.833,2,5,7,13,2,1,3,3,18,19.6,-9
24,24,12/1/21,20-101,CHO,@,MIL,L (-2),1,41:11:00,12,22,0.545,8,15,0.533,4,4,1,1,4,5,9,3,1,7,4,36,28.7,2
25,,12/5/21,20-105,CHO,@,ATL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,12/6/21,20-106,CHO,,PHI,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,12/8/21,20-108,CHO,,PHI,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,12/10/21,20-110,CHO,,SAC,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,12/13/21,20-113,CHO,@,DAL,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,12/15/21,20-115,CHO,@,SAS,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,25,12/17/21,20-117,CHO,@,POR,L (-9),1,28:36:00,11,17,0.647,3,5,0.6,2,2,1,1,3,4,5,1,0,2,4,27,22,-10
32,26,12/19/21,20-119,CHO,@,PHO,L (-31),1,24:45:00,2,12,0.167,1,6,0.167,4,4,1,5,5,10,7,2,1,2,2,9,11.2,-22
33,27,12/20/21,20-120,CHO,@,UTA,L (-10),1,32:44:00,8,20,0.4,3,7,0.429,2,2,1,2,4,6,11,0,1,4,6,21,14.8,-14
34,28,12/23/21,20-123,CHO,@,DEN,W (+8),1,24:56:00,5,11,0.455,1,5,0.2,5,5,1,0,5,5,4,4,1,3,4,16,14.7,-1
35,29,12/27/21,20-127,CHO,,HOU,W (+24),1,24:31:00,6,12,0.5,4,7,0.571,0,0,,1,4,5,7,2,0,1,2,16,17,17
36,30,12/29/21,20-129,CHO,@,IND,W (+8),1,33:41:00,8,13,0.615,1,4,0.25,4,5,0.8,5,7,12,9,1,0,4,2,21,22.8,13
37,31,1/2/22,20-133,CHO,,PHO,L (-34),1,23:10,5,12,0.417,3,6,0.5,4,6,0.667,0,3,3,1,0,1,1,1,17,10.7,-32
38,32,1/3/22,20-134,CHO,@,WAS,L (-3),1,31:20:00,8,21,0.381,2,9,0.222,0,1,0,1,3,4,2,0,0,2,4,18,5.5,-1
39,33,1/5/22,20-136,CHO,,DET,W (+29),1,29:40:00,4,11,0.364,3,9,0.333,1,2,0.5,0,8,8,12,1,1,4,2,12,13.2,22
40,34,1/8/22,20-139,CHO,,MIL,W (+8),1,26:20:00,8,19,0.421,2,7,0.286,1,2,0.5,2,7,9,8,1,0,2,5,19,14.6,-2
41,35,1/10/22,20-141,CHO,,MIL,W (+4),1,35:22:00,8,19,0.421,4,12,0.333,3,3,1,3,2,5,3,0,0,4,0,23,13.7,-2
42,36,1/12/22,20-143,CHO,@,PHI,W (+11),1,35:41:00,5,16,0.313,0,8,0,3,3,1,0,7,7,8,1,0,1,0,13,11.5,18
43,37,1/14/22,20-145,CHO,,ORL,L (-7),1,30:15:00,8,18,0.444,3,7,0.429,4,4,1,2,2,4,8,3,0,3,5,23,19.2,-13
44,,1/17/22,20-148,CHO,@,NYK,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,38,1/19/22,20-150,CHO,@,BOS,W (+9),1,32:22:00,5,15,0.333,3,6,0.5,2,2,1,4,6,10,10,0,1,8,2,15,10,3
46,39,1/21/22,20-152,CHO,,OKC,W (+23),1,26:17:00,4,12,0.333,2,6,0.333,0,0,,4,5,9,8,0,1,1,3,10,11.6,1
47,40,1/23/22,20-154,CHO,,ATL,L (-22),1,33:58:00,6,17,0.353,0,8,0,7,7,1,1,5,6,4,0,1,4,4,19,9.6,-18
48,41,1/25/22,20-156,CHO,@,TOR,L (-12),1,32:07:00,8,16,0.5,1,5,0.2,8,9,0.889,1,2,3,7,1,0,4,4,25,18.2,-19
49,42,1/26/22,20-157,CHO,@,IND,W (+32),1,38:01:00,11,16,0.688,3,4,0.75,4,5,0.8,1,9,10,13,1,1,4,3,29,30.8,45
50,43,1/28/22,20-159,CHO,,LAL,W (+3),1,34:10:00,7,18,0.389,2,8,0.25,4,6,0.667,1,6,7,2,1,1,1,3,20,12.8,21
51,44,1/30/22,20-161,CHO,,LAC,L (-25),1,37:54:00,8,19,0.421,1,6,0.167,6,6,1,0,5,5,10,2,0,0,3,23,22.2,-6
52,45,2/2/22,20-164,CHO,@,BOS,L (-6),1,38:58:00,12,24,0.5,4,10,0.4,10,13,0.769,2,4,6,9,2,0,3,2,38,31.9,-13
53,46,2/4/22,20-166,CHO,,CLE,L (-1),1,31:49:00,5,14,0.357,2,3,0.667,3,3,1,1,5,6,3,0,0,6,5,15,3.5,-20
54,47,2/5/22,20-167,CHO,,MIA,L (-18),1,21:30,5,11,0.455,2,6,0.333,0,0,,0,6,6,3,0,0,1,3,12,8,-12
55,48,2/7/22,20-169,CHO,,TOR,L (-15),1,44:05:00,5,19,0.263,1,6,0.167,4,5,0.8,3,1,4,9,4,0,7,5,15,7,-10
56,49,2/9/22,20-171,CHO,,CHI,L (-12),1,37:43:00,12,25,0.48,5,10,0.5,4,6,0.667,3,6,9,5,4,0,4,4,33,25.3,6
57,50,2/11/22,20-173,CHO,@,DET,W (+22),1,32:19:00,10,14,0.714,7,9,0.778,4,5,0.8,3,2,5,12,4,0,2,2,31,37.1,16
58,51,2/12/22,20-174,CHO,,MEM,L (-7),1,32:39:00,8,21,0.381,5,12,0.417,4,4,1,1,3,4,2,1,0,4,5,25,11.5,-2
59,52,2/15/22,20-177,CHO,@,MIN,L (-6),1,40:51:00,8,22,0.364,3,8,0.375,3,5,0.6,1,8,9,6,1,1,2,6,22,13.6,-12
60,53,2/17/22,20-179,CHO,,MIA,L (-4),1,38:38:00,5,15,0.333,1,9,0.111,3,4,0.75,2,8,10,14,0,1,5,6,14,12,1
61,54,2/25/22,20-187,CHO,,TOR,W (+32),1,29:13:00,5,16,0.313,2,7,0.286,1,1,1,1,4,5,6,1,0,6,2,13,4.1,10
62,55,2/27/22,20-189,CHO,,DET,L (-1),1,38:01:00,6,24,0.25,3,8,0.375,2,2,1,1,6,7,7,1,2,4,3,17,7.2,-1
63,56,2/28/22,20-190,CHO,@,MIL,L (-24),1,30:02:00,9,18,0.5,4,7,0.571,2,2,1,2,2,4,2,1,0,3,4,24,14.8,-23
64,57,3/2/22,20-192,CHO,@,CLE,W (+21),1,7:58,0,3,0,0,1,0,2,2,1,0,0,0,4,2,0,1,4,2,2.1,4
65,58,3/5/22,20-195,CHO,,SAS,W (+6),1,29:23:00,7,16,0.438,4,9,0.444,6,6,1,1,7,8,7,0,1,4,2,24,19.2,7
66,59,3/8/22,20-198,CHO,,BRK,L (-11),1,30:29:00,9,22,0.409,2,8,0.25,4,5,0.8,2,3,5,7,2,0,4,1,24,16.6,-4
67,60,3/9/22,20-199,CHO,,BOS,L (-14),1,28:28:00,6,12,0.5,0,4,0,3,3,1,1,7,8,4,0,1,6,5,15,7.3,-17
68,61,3/11/22,20-201,CHO,@,NOP,W (+22),1,31:18:00,6,12,0.5,2,7,0.286,3,4,0.75,0,6,6,9,3,0,1,2,17,19.9,14
69,62,3/14/22,20-204,CHO,@,OKC,W (+18),1,29:43:00,6,13,0.462,5,8,0.625,4,4,1,1,4,5,7,2,0,3,3,21,18.9,20
70,63,3/16/22,20-206,CHO,,ATL,W (+10),1,36:05:00,7,16,0.438,5,10,0.5,3,3,1,0,8,8,11,1,1,3,4,22,20.8,24
71,64,3/19/22,20-209,CHO,,DAL,W (+21),1,30:25:00,6,12,0.5,5,8,0.625,0,0,,1,3,4,7,4,1,0,3,17,21,29
72,65,3/21/22,20-211,CHO,,NOP,W (+3),1,32:22:00,6,12,0.5,4,9,0.444,1,1,1,0,4,4,9,0,2,1,1,17,18.5,6
,,,,CHO,,NYK,L (-15),1,,,,,,,,,,,,8,9,5,,,,,32,,-12